fuck you, curse
dickhead, curse
you dick, curse
cock, curse
suck my cock, curse
suck my dick, curse
you cunt, curse
asshole, curse
retard, curse
damn nigga, curse
nigger asshole, curse
you fucker, curse
motherfucker, curse
fuck your mother, curse
you twat, curse
you're a bitch, curse
shit, curse
whore, curse
bastard, curse
you're a whore, curse
you're shit, curse
you bastard, curse
you dickhead, curse
hello fuckface, curse
damn you, curse
goddamn idiot, curse
idiot, curse
kys, curse
please kys, curse
go kys, curse

hello friend, nocurse
love you, nocurse
you're good, nocurse
ok, nocurse
hi, nocurse
im full, nocurse
please, nocurse
good, nocurse
brb, nocurse
afk, nocurse
i'm back, nocurse
be right back, nocurse 
hello, nocurse
my name is, nocurse
thank you, nocurse
thanks, nocurse 
well played, nocurse
help me, nocurse
help pls, nocurse
pls, nocurse
gg, nocurse
wp, nocurse
ggwp, nocurse
